name,siret,tel,email,address,cp,solde_init
PROVENCE RESTAURATION,,0,,,,
EHPAD DE CHAMPROUGE,,0,,,,
E4V,,0,,,,
SCP ADN NOTAIRE,,0,,,,
BACHE MATUSSIER,,0,,,,
ASV CONSEIL,,0,,,,
FORMETO,,0,,,,
MAISON ET JARDIN,,0,,,,
QUADRIA,,0,,,,
VANHOUVK,,0,,,,
EHPAD DE CHAMPROUGE,,0,,,,
ENSA,,0,,,,
RUELLOISE DES VIANDES,,0,,,,
WASSEMBURG,,0,,,,
BFC,,0,,,,
BOURBON FROID OCEAN INDIEN,,0,,,,
DIFCO,,0,,,,
INTER INOX,,0,,,,
SCM TECHNOPATH,,0,,,,
A.G.C.T.R.N,,0,,,,
AZUR TRUCK PNEU,,0,,,,
B.E.T.F,,0,,,,
CENTRE AMBULANCIER,,0,,,,
HARMONY AIR CON,,0,,,,
CCAS SISTERON,,0,,,,
GISONE,,0,,,,
PROBAT,,0,,,,
SOMATRANS,,0,,,,
ESPACE MJC EVI,,0,,,,
TRADIBEAUCE,,0,,,,
ALTIMAX,,0,,,,
TEXA SERVICE,,0,,,,
SOMNI,,0,,,,
SUN LUX,,0,,,,
IRUP,,0,,,,
SANTEX,,0,,,,
DSP 24,,0,,,,
ACRA SARL,,0,,,,
IMPECC SERVICE,,0,,,,
ALPES SECURITAS,,0,,,,
QUANTEL MEDICAL,,0,,,,
NAZA AUTO,,0,,,,
ARROUZE,,0,,,,
EHPAD SEQUOIA,,0,,,,
SNT2 STUDIO SP,,0,,,,
ETABLISS MENS,,0,,,,
CGMS MAUVE DIV,,0,,,,
SERCICE SANTE AU TRAVAIL,,0,,,,
ENERGIE SERVICES,,0,,,,
CHALET HOTEL LA MARMOTTE,,0,,,,
GROUPE EXPERTISE SERVICE,,0,,,,
MAISON DU ST COEUR MARIE,,0,,,,
RESIDENCE RETRAITE ST AUBAIN,,0,,,,
SYNDICAT DES EAUX DU CENTRE OUEST,,0,,,,
ADONIS,,0,,,,
SARL RESIDENCE DE LA HÉ,,0,,,,
LE GRAND CAFÉ,,0,,,,
TRAMETAL,,0,,,,
DGDA,,0,,,,
RSAI,,0,,,,
TRADIBEAUCE,,0,,,,
SARL BEAUMONT,,0,,,,
BCD FRUIT,,0,,,,
SUN IMMOBILIER,,0,,,,
LAFOSSE ELECTRICITE,,0,,,,
ASSURANCE MUTUEL PICARDIE,,0,,,,
AIRBIO,,0,,,,
EVADOPA,,0,,,,
SERVICE PORTUAIR,,0,,,,
FCA FERTILISANT 2021,,0,,,,
L’amandier de mougins,,0,,,,
ALPHA NOV,,0,,,,
COOPERATIVE,,0,,,,
COBET CONST,,0,,,,
CARRIER,,0,,,,
STYL PLAQUE,,0,,,,
ARTISANS DU BOIS,,0,,,,
CGSI,,0,,,,
LE BEAUSSET,,0,,,,
AZAE,,0,,,,
BRICE ROBERT LYOD,,0,,,,
TOURNING SECOUR,,0,,,,
BEAUMONT,,0,,,,
CENTRE AMBULANCIER,,0,,,,
UC BATIMENT,,0,,,,
ACS SARL,,0,,,,
SAS DI PIU,,0,,,,
SAS VILLA D’ESTE,,0,,,,
SAS ETS BENEZECH,,0,,,,
SAS LAEPS,,0,,,,
SAS BABBO MIO,,0,,,,
SARL ICGC,,0,,,,
GISONE,,0,,,,
GREID,,0,,,,
GIE DOMICILE,,0,,,,
GROUPE LOGIPRO,,0,,,,
PSA AMENAGEMENT,,0,,,,
ROA,,0,,,,
OSTL 2,,0,,,,
ETOILE AUTOMOBILE,,0,,,,
SYNDEXTOUR,,0,,,,
LES PRAIRIES DE LA MER,,0,,,,
SARL H2G,,0,,,,
SAS KON TIKI,,0,,,,
SAS GACHET BETO,,0,,,,
TLS SOLUTION,,0,,,,
SARL RESIDENCE ROY,,0,,,,
FDAFR,,0,,,,
DPC,,0,,,,
GACHET TP,,0,,,,
GACHET SAS,,0,,,,
EUROFRET,,0,,,,
MARBERIE SAS BOURSON,,0,,,,
URGENTIS JUSSIEU,,0,,,,
JUSSIEU STRASBOURG,,0,,,,
SAS SIVIGNON TP,,0,,,,
DOMAINE LYON ST JOSEPH,,0,,,,
LAURENT DOYLE NOTAIRE,,0,,,,
MECA SERVICE,,0,,,,
AAPI,,0,,,,
WASSEMBURG,,0,,,,
LABRE INGENIERIE,,0,,,,
SOCIETE NVL HOTEL,,0,,,,
SARL JAHCHAIRMAN,,0,,,,
EZA SECURITE,,0,,,,
SWISS SPORT,,0,,,,
THEATRE DU NORD,,0,,,,
BUS 31/32,,0,,,,
CARREFOUR MARKET,,0,,,,
CARREFOUR MARKET 2,,0,,,,
SABLIERE MALET,,0,,,,
SAS KIEKEN IMMO,,0,,,,
GOLF & ASSOCIES,,0,,,,
INST MED EDUC,,0,,,,
ASCP,,0,,,,
RAYMONDI DIST,,0,,,,
ENF,,0,,,,
YI-DA FOOD,,0,,,,
ASMOBAX,,0,,,,
TRANSPORT LOCATION NEGOCE,,0,,,,
ENTREPRISE BAUL BEVERAGGI SAS,,0,,,,
SARL PCV2A,,0,,,,
SAS GREJUL,,0,,,,
OSTL LA VILLE MENTON,,0,,,,
CARRIER,,0,,,,
CAP AUTO,,0,,,,
INTRASENSE,,0,,,,
RESEAU IDF,,0,,,,
BACHE MATUSSIER,,0,,,,
SAS DAVID SERVICE,,0,,,,
DAVID SA,,0,,,,
ARTISANS DU BOIS,,0,,,,
LB MENUISERIE,,0,,,,
SCP ADN NOTAIRE,,0,,,,
COMMUNAUTE ST EMILIONNAIS,,0,,,,
TELE SECOURS,,0,,,,
CTRE COM ACTION,,0,,,,
CAPS PAKAGING,,0,,,,
AGE D’OR SERVICE,,0,,,,
DENTEL STORME,,0,,,,
BIGMAT BECAT,,0,,,,
INTERSNACK,,0,,,,
SDO INVEST,,0,,,,
SNC PHARMACIE B,,0,,,,
ETS LEVEQUE,,0,,,,
GESTELIA CANT,,0,,,,
SEKADIS,,0,,,,
PROGAGNE,,0,,,,
AMBULANCE JOUIN,,0,,,,
MUST INFORMAT,,0,,,,
SOMARAIL,,0,,,,
AUTO PORT,,0,,,,
ROHER FRANCE,,0,,,,
INTERSPORT,,0,,,,
BIPEL,,0,,,,
AIREM,,0,,,,
SIEBA,,0,,,,
FRAGRANCE ONLY,,0,,,,
SAS ARDIG INTERM,,0,,,,
LABORATOIRE MED,,0,,,,
BDL DISTRIBUTION,,0,,,,
CAP LITORAL SERV,,0,,,,
JH COMPAGNY,,0,,,,
PROFESSION SPORT,,0,,,,
TETRAC,,0,,,,
QUADRIA,,0,,,,
ASPECT SERVICE ENVIRONNEMENT,,0,,,,
PIERRE DEVEUGLE,,0,,,,
G.A.E,,0,,,,
INTUILAB,,0,,,,
MTK ECHAFAUDAGE,,0,,,,
AR’TS,,0,,,,
REDEN TECHNIQUE,,0,,,,
OPSIA,,0,,,,
STAS,,0,,,,
CRIDON,,0,,,,
NOVALI,,0,,,,
CENTRE TECHNOLOGIE,,0,,,,
FIDUCIAIRE RHIN,,0,,,,
GPT ROSIERE,,0,,,,
ALGAUTO,,0,,,,
COMAT CENTRE SAS,,0,,,,
COMAT SUD EST,,0,,,,
SARL LE BALTHAZAR,,0,,,,
SOPHIE LALANNE,,0,,,,
PAPI SAS,,0,,,,
ECOLE DES ÉTABLIERES,,0,,,,
SAS TRIEUX FRÈRES & FILS,,0,,,,
SOCIETE LAITIERE DU BOCAGE ORNAIS,,0,,,,
SAS VEDITEC,,0,,,,
EURL GEOTHERMIQUE,,0,,,,
LABORATOIRE D’ANALYSES MEDI,,0,,,,
FRAGRANCE ONLY,,0,,,,
ASPECT SERVICE ENVIRONNEMENT,,0,,,,
SELARL PHARM DEESE,,0,,,,
ID AUTOMATION,,0,,,,
CTRE COM ACTION,,0,,,,
MAISON D’ENFANTS DE CHAMPRIEUX,,0,,,,
VAN HECK,,0,,,,
AMBULANCE DU LAURAGAIS,,0,,,,
SA JANOUEIX,,0,,,,
BUCHER MUNICIPAL,,0,,,,
MJC EVIAN,,0,,,,
IREM,,0,,,,
PHARMACIE BRIE,,0,,,,
CCAS,,0,,,,
S.C.B.A,,0,,,,
SOTTY SA,,0,,,,
R.S.A.I,,0,,,,
SAS VENDÉE BUR,,0,,,,
GARAGE DE LA COTE D’EMERAUDE,,0,,,,
SAEC,,0,,,,
VIVAREST SARL,,0,,,,
EUROMYCEL SAS,,0,,,,
DOTEMU SAS,,0,,,,
FAURECIA CLARION,,0,,,,
STE FRANCAISE DES GALERIES CD,,0,,,,
TRANSITION PRO HAUT FRANCE,,0,,,,
COREBAT SAS,,0,,,,
BEYER COUVERTURE SAS,,0,,,,
ALTIMAX SAS,,0,,,,
MAISON JULIEN,,0,,,,
VILLE PLURIEL,,0,,,,
E4V,,0,,,,
SSL 247 SARL,,0,,,,
CMO INDUSTRIE,,0,,,,
SAS VIELLARD,,0,,,,
PETITE SECOURS DES PAUVRES,,0,,,,
JFC CAEN LIZIEUX,,0,,,,
LINCNYL,,0,,,,
KALKER GARAY SA,,0,,,,
GAUTIER CHARENTE,,0,,,,
PLS CHATRAIN,,0,,,,
SERVICE PORTUAIR,,0,,,,
ENTREPRISE FAURIE,,0,,,,
ASV ASSURANCE,,0,,,,
SOMATRANS,,0,,,,
HYDRA,,0,,,,
LE PLAISIR DE S’ENTRAIDER,,0,,,,
WOLFF & ASSOCIES,,0,,,,
SARL GOURMET DE NOS FERMES,,0,,,,
CCAS,,0,,,,
IMMO DE FRANCE,,0,,,,
IMMERGIS,,0,,,,
EURO MOSELLE LOISIRS,,0,,,,
JARRIGES ESPACE VERT,,0,,,,
AU SABLIERS SERVICE,,0,,,,
OCEBLOC,,0,,,,
ENTREPRISE BESSE,,0,,,,
TETROSYL EUROPE,,0,,,,
AUGUSTA REEVES OUEST,,0,,,,
VALAGRI,,0,,,,
LABORATOIRE FENIOUX,,0,,,,
SAS PR3,,0,,,,
ETS DARDE SAS,,0,,,,
RUN ENFANCE,,0,,,,
SAS LICODIS,,0,,,,
SAS MESCODIS,,0,,,,
LE CLOS SAINT MARTIN,,0,,,,
CATEQUIP SAS,,0,,,,
NAZA AUTO,,0,,,,
ETS GUENEBAUT FRERE,,0,,,,
ARROUZE SAS,,0,,,,
STE TAILLEFER,,0,,,,
SAS CAPET,,0,,,,
R3I,,0,,,,
JUSSIEU SECOURS METZ,,0,,,,
JUSSIEU STRASBOURG,,0,,,,
ED CONCEPT,,0,,,,
LES POTERIES D’ALBI,,0,,,,
ACTMIUM,,0,,,,
SARL STCM,,0,,,,
ALENTOUR,,0,,,,
SARL FAUCONNET,,0,,,,
SARL MONDVERT,,0,,,,
